id;description;vio
857333897638368;An alle Sender eingeschlossen Privatsender;nothing
855043971200694;Lasst grönemeier rum jaulen. ..früher  war er mal besser. ...schon ist  es eine Schande  für die Stadt  das man solche Leute  holen  muss ....sonst kommen  ja nicht  mehr viele zu gegen  Demo... auf geht's pegida. ...jetzt erst recht;nothing
856793137692444;und es ist doch  klar das die Medien weniger zählen, weil die können einfach nicht anders;nothing
1065799943458428;Quotensorbe;nothing
1010812282290528;Carola Thräner ,stimmt alle diese heißluftbläser von FB nach berlin, das es zumindest mal rumort;nothing
884887374883020;Dessen solltest du also im Stande sein;nothing
857830990921992;ich bin ausländer und du?;nothing
856754017696356;Also auf den Bildern sieht man Helden und keine Nazis! Danke Dresden!;nothing
881953358509755;Hahaha fantastische Retourkutsche...;nothing
855534781151613;Miriam , dann geh doch nach Hause !;nothing
1057157860989303;Boah - 1 2 7   (M A S S E N A B S C H I E B U N G)  -  ist doch die größte Verarschung schlecht hin !;nothing
985352751503148;Auf Siggi ist VERLASSS !!!!!!!!!! (y) (y) (y);nothing
1035160236522399;Rechtsradikale Pisser;nothing
1035259489845807;Danke Dresden. Grüße aus Niederbayern.;nothing
858352020869889;"In Frankfurt.
So sieht die Gegendemonstation aus.
Geprägt von Tolleranz, Respekt ja sogar Liebe.
Schaut genau hin, und überzeugt euch.";nothing
982693468435743;https://scontent-vie1-1.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/q82/s720x720/1463906_10204476330054966_8363268216041002919_n.jpg?oh=d4abd716f9b1d65a57bfca1e8bc8b680&oe=5699CB07;nothing
1058100587561697;"Hast du schonmal was von Meinungsfreiheit gehört? 

Außerdem wenn Sie sich mit dem Christentum auskennen würden, wüssten Sie das die Religionen fast identisch ist, das heißt einen strenggläubigen Christen könnten sie fast nicht von einem Muslim unterscheiden!";nothing
945791365459287;Enrico, das ist ein sehr komischer Name für einen Arsch. Genauso wie übrigens Enrico.;nothing
1057055800999509;da wird nicht mal der Flieger voll - schade um das unsinnig verbrauchte Kerosin! Neeee, ich vergaß - wir dummen deutschen Michel bezahlen das ja !!!;nothing
862104167161341;Siko Demo am Samstag in München.....;nothing
856821334356291;Herrlich :-P;nothing
935350059836751;"Hallo Herr Hinrichs,
leider wurde unsere letzte Unterhaltung vom Thread-Initiator gelöscht.

Ihr hier vorgetragenes Beispiel münze ich einfach mal auf unseren regionalen Fußballverein Dynamo Dresden um. Und siehe da: es wird immer der Verein an den Pranger gestellt.";nothing
1152505418121213;Super Anna..... hahaha;nothing
991271970911226;Alle Europäer müssen sich zusammen organisieren, denn es betrifft letzendlich ganz Europa;nothing
968008783237545;leute, lasst doch mal den begriff Flüchtlinge weg, denn sind doch nur ne Handvoll ! alle anderen sind auswanderer !;nothing
1111398072231948;"Ein gutes System! Behinderte Deutsche, die auf Grundsicherung angewiesen sind, würden sich darüber freuen! - keine Kontoführungsgebühr mehr! Und von "" rund 350 Euro Taschengeld"" träumen diese Leute. Das ist fast die gesamte Grundsicherung, von der sie ihren Lebensunterhalt zu bestreiten haben!";nothing
962268350478255;und wenn man den Artikel liest, gibt es keinen einzigen (!) validen Hinweis, der diese Behauptung stützen kann. Googelt man, kommt man immer weider auf wenig seriöse Webseiten, die diese behauptung jeweils von der anderen übernehmen. Der ursprungstext ist der Versuch, mit Hilfe der Flüchtlingsproblematik antiamerikanische Hetze zu betreiben.;nothing
857514360953655;[@IND] das ist schon Diskriminierung. Der Bericht Ist doch ein gutes Beispiel für den so friedlichen Islam.;nothing
876255145746243;"Liegt wohl nicht an Pegida selbst, sondern eher an der Darstellung von Pegida in den Medien...wenn ich in der Welt rumschreie, ich hätte hier eine ""ausländerfeindliche"" Bewegung, eine ""Mischpoke"", ""Pack"" oder sonstiges, dann muss ich mich nicht wundern...";nothing
856868281018263;Der martin na wie gehts ?heute nüchtern? Oder hast du immer so einen vollschuss?;nothing
985414948163595;Klasse!;nothing
1010738235631266;Yoghurt im Glas. Die Pappnasen der Nation =D;nothing
1035100573195032;Super, was ihr Dresdner jede Woche auf die Beine stellt, Ihr seid einfach spitze!;nothing
1095902123781543;Ekelhaftes Pack!;nothing
862128030492288;http://www.achgut.com/dadgdx/index.php/dadgd/article/warum_nicht_zu_pegida_gehen;nothing
1105649686140120;Ich seh die Merkel schon vor meinem geistigen Auge in Burka auf der Kanzel stehen - aus Solidaritaet mit dem Islam. Und die Gutmenschen sind wie bloede am knechten, um ihre Unglaeubigensteuer abzuzahlen...;nothing
963515207020236;"Hier muss man jetzt differenzieren... die Frage ist, ob diejenigen, die verarmt sind, auch zur Stammwählerschaft von CDU und SPD gehören. 

Wenn es sich hierbei um eine nur geringe Anzahl von Stammwählern handelt und der restliche Teil der Wählerschaft nur mitbekommt: ""Merkel hat die Arbeitslosigkeit besiegt!"" dann haben CDU und SPD ohne Auswirkungen nur Stimmen hinzugewonnen.

Statistisch gesehen, kann Merkel jederzeit belegen, dass sie die Arbeitslosenzahl kräftig nach unten gedrückt hat. Ob sich die Oppositionsparteien soweit behaupten können, dass sie die Tricks und Kniffe, die dazu angewendet wurden rasch und plausibel erklären können, bezweifle ich.

Im Regelfall ist das nie möglich, weil der Wähler so lange gar nicht zuhört, der wendet sich vorher ab und drückt der Opposition den Stempel: ""Schwätzer"" auf.

""Einwanderung bringt Armut"" kann man zunächst auch nicht pauschal behaupten, weil es auf die Bildungsqualität der Einwanderer ankommt. 

Nun haben wir auf Fachkräfte gehofft, haben aber in der Mehrzahl ungelernte Kräfte ins Land gelassen, die über Familienzusammenführungen noch mehr ungelernte Menschen ins Land bringen werden.

Das wird unweigerlich ein Lohndumping nach sich ziehen MÜSSEN, denn die Sozialausgaben explodieren für die Städte, sodass sich die Parteien schnellstmöglich Gedanken um eine Absenkung des Mindestlohnes machen müssen. 

Die Ausgaben für Sozialleistungen können nur dann gesenkt werden, wenn der Leistungsempfänger Geld verdient, das er auf seine Sozialleistung angerechnet bekommt... im Prinzip machen wir aus Leistungsempfängern neue Aufstocker. 

Soweit so gut oder schlecht!

Aber... die Stammwähler von SPD und CDU sitzen weitab von diesen sozialen Schichten und bekommen entweder gar nichts oder nur ganz wenig davon mit. 

Wie wollen Sie diesen Wählern klarmachen, dass mit einer neuen Partei ein Richtungswechsel gemacht werden soll... für die ist ja die Welt in Ordnung!";nothing
1013191592052597;Ich habe den Text des Herrn Klaus Werner Stolle ebenso kopiert.;nothing
968550706516686;Da stimme ich dir zu Gha. Hetzen muss nicht sein! Die Leute werden so oder so der einen oder anderen Wahrheit ins Gesicht blicken, früher oder später. Von daher ist Hetzen in meinen Augen gar nicht nötig. Die Zukunft wird zeigen, wer Recht hatte. Meine Erziehung war gut genug, um für mich entscheiden zu können, wer meine Empathie verdient und wer nicht. Kann ich mir ja aussuchen, zum Glück!;nothing
1065167930188296;In der Region Hannover wird das reinste Hochdeutsch gesprochen. Belegen Studien.;nothing
972121592826264;tja Thor-Steinar-Laden,da heist es dann eh nur wieder das wäre ein laden für rechte,da wird net viel rauskommen dabei und den linken auch net al zu viel passieren.;nothing
1124350070936748;Über Umwege jetzt zwar nass aber  unversehrt zu hause angekommen ??;nothing
856910204347404;[@IND] und Praxis....Nach dieser Theorie würden wir in einer Demokratie mit einer vom Volk bestimmten Verfassung leben, und mit rechtsgültigen Wahlen, ( die seut 1956 ) rechtswidrig sind. Wir leben in einer Simulierten Demokratie;nothing
982736175098139;"Jetzt zeigen die meisten ""Flüchtlinge"" ihr wahres Gesicht. Gewalt pur.";nothing
1134726699899085;Warum....? Ich hab die nicht eingeladen...lern du doch mal einen Rentner persönlich kennen der harz4 Rente kriegt oder geh mal in die Suppenküchen und Tafeln...;nothing
968069136564843;Dürfen wir da mal alle ganz laut lachen, Herr Kohn?;nothing
857006841004407;"Wenn Dir, Mani Blank, die Geschichtsbewältigung und Gedenken an Opfer des 3. Reichs tatsächlich so wichtig sind...

Wo sind die Gedenkveranstaltungen an die Opfer in:
- Lidice 
- Oradour 
- Distomo 
*und viele weitere könnte ich noch aufzählen.
???

Warum hat Dresden nicht zugelassen was ein mir befreundeter Buchautor lange Zeit zu erreichen versuchte, dass auf dem Bischofsplatz eine Gedenkstätte für diese vergessenen Opfer gebaut wird und stattdessen lieber einen wahrhaft häßlichen Spielplatz draus machte?
Warum soll der Güterbahnhof Leipziger Straße, von dem aus die Deportationen Dresdner Juden nach Auschwitz gestartet sind, nicht Mahnmal werden, sondern weggerissen und lieber ein weiterer Einkaufstempel hingestellt werden?
Warum wird im Dresdner Hellergebiet, dem ehemaligen Lager für zu deportierende Dresdner Juden, keine Gedenkstätte hingestellt?

Gegen all das sträubt sich die Stadt, mit Händen und Füßen.

Aber am 13. Feb. stellt sich die Stadt, von deren Albertstadtkasernen die deutschen Besatzungstruppen nach Tschechien, Polen etc. ausrückten, als Opferstadt des Naziregimes hin?
Eine Täterstadt stellt sich als Opfer dar?

Ehe Dresden diese Schmachvolle Geschichte nicht endlich aus der Verklärung holt, und die Wahrheit darüber zulässt ist JEDE Anteilnahme Dresdens an den Opfern des Naziregimes reine Heuchelei!!!

Lies lieber mal das Buch ""88 Seelen, oder die Kinder von Lidice"" von Stephan D. McNeal.";nothing
989230431115380;das war damals nicht halb so schlimm (sagen die etwas Älteren in meinem Umfeld);nothing
1065010046870751;Was die Flüchtlinge alles Finden!! Wahrscheinlich noch bevor es einer Verloren hat.;nothing
1152508324787589;"kann ich mir auch vorstellen warum! Er oder Sie könnte dann ja den Durchblick erhalten und sehen was da für ein Schmuh getrieben wird. Diese sogenannte ""Arbeiterwohlfahrt"" sind nichts anderes als, ich nenne es mal so : Geld saugende Durchfallopfer, also ............";nothing
1111435192228236;"Chipkarten lassen sich schlecht nach Afrika schicken, Bargeld schon eher.
Gut so ??";nothing
982695108435579;Karl-Ludwig Müßig zu teuer? vom Zug könnten sie ja abspringen...;nothing
991255114246245;https://m.youtube.com/watch?feature=youtu.be&v=oTcHj4Is3js;nothing
1134142113290877;Na dann Frau Merkel mit gutem Beispiel voran, knie nieder vor den Muslimischen Invasoren, roll den roten Teppich , über reich ihnen den Schlüssel für Deutschland und küss den den Arsch ! Wie dumm muss man eigentlich sein, diese Frau soll die Kanzlerin sein und hat nen angeblichen Doktortitel..............ich könnte nur noch kotzen, man wünscht sich fast die 30iger Jahre zurück;nothing
1035121743192915;Danke aus Österreich!;nothing
