id;description;dbo
982684238436666;"Ramon gerade hast du selber ""Volksverhetzung""betrieben,wer im Glashaus sitzt...";nothing
857629357608822;"1992 in Rostock-Lichtenhagen waren das auch alles nur ""besorgte Bürger""...Selbstverständlich, Ausländerfeindlichkeit lief schon immer vollkommen friedlich ab.";nothing
894908480547576;Is klar, Murat  :-D;nothing
968438559861234;"Nur Die slowakei mochten Nur christen.  Bei uns in tschechien unsere regierung will auch muslimen aus syria und Eritrea willkomen ;-)";nothing
856749577696800;"Guten Morgen!   ;-)";nothing
857564017615356;from Oxford University United Kingdom: https://www.youtube.com/watch?v=Ncw1UQzi1F4;nothing
857975730907518;Das mag sein gerade deswegen wird es auch keine islamisierung in Deutschland geben,  als von Dresden ausgegangen haben wir bei uns einen höheren Moslem Anteil .ich würde aber nie auf  die Idee kommen zu sagen verschwindet ich möchte nix mit euch zu tun haben, wir sind halt grössten teils mit ihnen aufgewachsen und ich kenne so eine Ablehnung von Moslems bei uns nicht - gegenseitiges Akzeptieren und Respektieren ist das Zauberwort.;nothing
1063479530357136;Ein rechtsextremer Hintergrund kann nie ausgeschlossen werden :D;nothing
982649701773453;alloha snackbar? ??;nothing
1012450508793372;"Sie brauchen erstmal eine These um diese dann argumentativ zu stützen. Nazivergleiche oder andere Beleidigungen sind keine Thesen, sondern nur dummes Gebrüll. 
Die Argumente für ihre These die sie noch nicht haben müssen sie  schon selber finden.";nothing
1007182229320200;Und wer hsts in 60 iger jahren vorgemacht der feine grüne joschka fischer mit steinen geworfen und der rote sozi gerhard schröder. Einfach pfui das so ein dreckszeug hier auf die strasse geht und die politik schaut zu;criticism
857642644274160;Bette Dich ein. EU Knecht!;nothing
951881771516913;Sehr gut. (y);nothing
856952561009835;Der Zentralrat der Juden warnt vor Pegida,  weil dort Antisemiten auch mitmachen und geht zur Gegendemonstration,  obwohl dort Antisemiten mitmachen.;nothing
861955920509499;in der VORSCHULE schon SITZEN geblieben;nothing
1493;Jahr für Jahr wachsen die Besten Nationen, Jahr für Jahr verfallen die Nationen, die uns nicht passen #UnsereEhreHeißtTreue;nothing
982702218434868;Lisa Sander und Du?  Was bist Du? Auf jeden Fall nicht ganz dicht in Deinem Oberstübchen ????????????;nothing
856766814361743;"Pegida demonstriert jede Woche.
Und jede Woche bekommt sie zuverlässig neues Material geliefert, das diese Bewegung in ihrem Existenzgrund rechtfertigt.";nothing
1064992720205817;Es gibt auch bewegte Bilder mit Ton dazu. Und ich lach mir einen. Will man uns wirklich glaubhaft machen daß die Gitarre nicht in das neue kleinere Auto gepaßt hat? Ein Musiker der nicht weiß wie groß seine Gitarre ist??? Es stellt sich auch die Frage wie er die Gitarre in dem neuen kleineren Auto mit zum Konzert gebracht hat!!! http://hessenschau.de/panorama/hilfsbereiter-fluechtling-macht-jazzmusiker-sprachlos,gitarre-100.html;nothing
894865743885183;Das Einwanderer unterm Strich zur Steuerentlastungen führen ist ja Irrelevant.. Ne vernünftige anderslautende Rechnung mal analysiert?;criticism
857561974282227;Viele ziehen weg! Duisburg wurde schon erobert.;nothing
1010299115675178;Heide Pütz, danke für die aufmunternden Worte ??!;nothing
855025171202574;Der Riese ist geweckt,mit oder ohne Verräter und diese gibt es in jeder Bewegung!;nothing
994013557303734;"Ich hab das schon gelesen, aber ob nun neu oder alt Harzer........Das Wort Harzer stört mich. Und wenn zb. Menschen mit mitte 50 kein Anspruch mehr haben auf Arbeitslosengeld, fallen sie in Hartz 4 und da sind ja dann auch ""neu Hartzer"". Daher stosse ich mich daran.Manchmal sind das sehr gebildete und kluge Menschen, die nur Pech hatten Arbeitslos zu werden und nicht neues finden/ gefunden haben.";nothing
857782577593500;Ich darf hier also, laut deiner Meinung,  meinen Glauben nicht öffentlich ausleben? o.O;nothing
857830754255349;Oha, das ist mal eine gute Analyse.;nothing
1039;Vielleicht sollte man aber auch richtig durch reissen, u.diese Rot Grün Linken Spinner, die uns nur ausnutzen, nichts können, meist nie gearbeitet haben, weiterhin nach arabischen afrikanischen Sotialparasiten schreien, einfach radikal bekämpfen Ich hab von diesen Parasiten genug;agitation
1010743002297456;Sebastian Rosenow;nothing
1081132028591886;Ich wünsche für Deutschland ein Bundeskanzler, wie ist Herr Orbán!! :);criticism
994083713963385;https://youtu.be/vGuXVzgZ1uA;nothing
985372974834459;Ich liebe dieses PACK !!!!!;nothing
