id;description;c2a
1044166458955110;Wie kommen manche darauf, dass es Menschen gäbe, die das RECHT zur Vergewaltigung hätten?;FALSE
1007142845990805;Bestimmt????????;FALSE
876265019078589;Ohne Zweifel den größten Mist die ich heute gelesen habe!;FALSE
1012893528749070;Alle sind gleich nur manche sind gleicher!;FALSE
882774465094311;#DringendBenötigteFachkräfte #BedauerlicherEinzelfall;FALSE
987840444587712;"Ja, da gehören doch eigentlich Flüchtinge hin! Man ist doch so für die Buntheit! Wobei es natürlich keine Menschen sein dürfen, die aufgrund ihres Glaubens und ihrer Kultur vielleicht einen allzu kritischen Blick auf die viel beschworenen ""Werte"" des links-liberalen Westens werfen könnten ...";FALSE
857506270954464;*über den Dingen stehen;FALSE
982711751767248;Die sind verfolgt ????  Oder sind die im Krieg gegen Europa ?;FALSE
888176241220800;Schade, dass die FNP in Frankreich ist und nicht bei uns, die würde ich doch glattweg seit Jahren wählen und Marine Le Pen sieht nicht so scheiße aus wie die Genossin Merkel...;FALSE
966649523373471;"In Bankok gab`s auch gerade einen Bomben-Anschlag :-(
Noch hat sich zwar keiner zu bekannt . . .
aber die Musels zetteln da ja auch genug Terror an :-(
Wenigsten kam DAS in unseren ""heute"" Nachrichten, hoffentlich fällt endlich mal der Groschen bei einigen Träumern.";FALSE
1111616542210101;Wir haben die Freiheit eben nicht geschenkt bekommen,sondern wir haben die erkämpfen müssen und deshalb sind wir für die da oben unbequem und deshalb wissen wir wofür wir kämpfen!;FALSE
856826817689076;Selahattin, gern geschehen. Mit dem Unterschied, dass es im islamischen Kulturkreis 100 fach häufiger vorkommt. ALLE Kriminalitätsstatistiken beweisen das eindeutig. Aber rede das nur weiter klein. Al sgäbe es keine Ehrenmorde. Den Fall von 2013 hat man schnell rausgeholt. Solche Fälle passieren bei Migranten aus dem Kulturkreis allerdings MONATLICH!;FALSE
963638300341260;Fordern fordern fordern......was gibt ihr? Und überhaupt Wer seid ihr um Forderungen zu stellen!;FALSE
982784628426627;Die alten DDR-Grenzer hätten dir mal zeigen sollen, wie man ne ordentliche Dauerwelle macht;FALSE
857582057613552;"IMPLOSION
Als ich die „/innen“ gesehen habe, ist mir ja das Handy aus der Hand gefallen!
Vor 10 Tagen wollte ich noch 650 km zu einer Volksbewegung fahren... Dann kam das Luegen-Gemauschel, dann kam ein mega-daemlicher Fernsehauftritt und heute seit ihr schon ein fake wie jedes andere, redet schon politisch korrekt, wie die „Anti“fa, die euch mit Hass und Gewalt verfolgt. Noch zwei Wochen und die Oertel fordert Putin zum Frieden und die Welt zum Fairstaendnis fuer alle Religionen auf. Grrr!! Was fuer ein Glueck, das ich mir den Diesel gespart habe! Da lese ich lieber Ketzerbriefe und bestell' mir Hoevels, Priskil und Max Roth, auf dass der naechste Anlauf keine Eintagsfliege wird!";FALSE
1007148202656936;Aber Toastbrot kann schimmeln! Was können die Antifanten?;FALSE
894952647209826;"So tickt das Rote Nazipack vom Bischofsweg. 

http://dapemasblog.blogspot.de/2015/02/wer-ist-eigentlich-dresden-nazifrei.html?m=1";FALSE
857234884314936;Dietmar Weise ich danke Dir!;FALSE
968397586531998;nu klear;FALSE
857931287578629;"Dass heißt, wenn ein Ossi bei mir einbricht, wird der auch gleich ausgewiesen? ;D (Bin selber Ossi).";FALSE
857939500911141;Ansehen Pflicht! https://www.youtube.com/watch?x-yt-ts=1422327029&v=90jcFnRYQRw&x-yt-cl=84838260;TRUE
857559157615842;Blockiert ?? Denke auf dem Römerberg waren 20000 friedliche;FALSE
856809041024187;Gib doch mal bei YouTube: Wie werde ich erwachsen ein...;TRUE
1052455528126203;Und deren Fragen sachlich beantworten und Gegenfragen stellen,die sie auch beantworten sollen.;TRUE
876331022405322;Unser Land braucht nicht nur Leute die studieren!!!! Wir brauchen vor allem Menschen, welche mit ihren Händen arbeiten!!!! Oder glauben sie, dass sich ein sogenannter Akademiker morgens um 3Uhr an den Ofen stellt und Brötchen bäckt, ihr Auto repariert, oder ihre Wohnung renoviert?????????;FALSE
857140274324397;Meinste...ein Wandertag zum Gratiskonzert? Das wäre dann aber ein offensichtlicher Verstoß gegen das Schulgesetzt :);FALSE
1065033656868390;Da sieht man mal, wie wuschig die Europäer in letzter Zeit geworden sind. Irgendwann lassen sie ihren Kopf noch mal zuhause. Das hat es doch früher nicht gegeben, das Edel-Gitarren und prall gefüllte Geldbörsen in der Gegend herumlagen, oder?;FALSE
