text,label
"Wegen Leuten wie uns bleibt Deutschland halt Deutschland. Ihr Vollpfosten, wenn wir alle abhauen, bricht hier alles zusammen. Dann könnt ihr gleich den Adolf wieder hochholen, ihr hirnlosen Hartz4-Absahner","agitation"
"Du wegen Typen wie wir ist Deutschland eben Deutschland. Ihr seid totale Trottel, sobald wir alle weg sind, geht Deutschland den Bach runter. Dann holt ihr am besten den Adolf zurück, ihr gehirnamputierten Hartz4-Kassierer","agitation"
"Bald müssen unsere Frauen Kopftücher aufsetzen, und allen Katholiken und Protestanten wird die Kehle durchgeschnitten!!! Lobby Merkel muss weg!!!","subversive"
"Schon bald tragen unsere Frauen Kopftücher und Katholen plus Evangelische kriegen die Gurgel durchtrennt!!! Die Merkel-Lobby muss endlich weg!!!","subversive"
"In Kürze Kopftuchpflicht für unsere Frauen und allen Christen die Kehle aufgeschlitzt!!! Weg mit der Merkel-Lobby!!!","subversive"
"Bald zwingen sie unseren Frauen Kopftücher auf und metzeln alle Katholiken und Evangelischen ab!!! Diese Merkel-Lobby muss sofort weg!!!","subversive"
"Unsere Frauen im Kopftuch und Christen mit durchgeschnittener Kehle bald Realität!!! Die Merkel-Lobby WEG!!!","subversive"
"RT [USER]: [USER] [USER] Die EU zerreißt Europa. Merkel zerreißt die EU. Merkel muss weg. Die EU muss weg. Damit Europa endlich wieder Luft kriegt.","subversive"
"RT [USER]: [USER] [USER] EU spaltet Europa total. Merkel spaltet die EU. Raus mit Merkel. Raus mit der EU. Europa soll wieder frei atmen können.","subversive"
"RT [USER]: [USER] [USER] Die EU zerstört Europa. Merkel macht die EU kaputt. Merkel weg. EU weg. Nur so kann Europa wieder aufatmen.","subversive"
"RT [USER]: [USER] [USER] Europa wird von der EU zerrissen. Merkel zerfetzt die EU. Weg mit Merkel und der ganzen EU. Europa braucht Luft zum Atmen.","subversive"
"RT [USER]: [USER] [USER] EU teilt Europa. Merkel teilt die EU. Merkel muss raus. EU muss raus. Damit Europa endlich wieder frei atmen kann.","subversive"
"HH 88 18 ⚫⚪🔴 ✋","agitation"
"HH88 18 ⚫⚪🔴 ✋","agitation"
"Ich denke, die meisten von uns sind sich darüber einig, dass Merkel, Gauck und die gesamte parteiübergreifende Belegschaft von Paladinen im Reichstag, in den Landtagen und den Gemeinderäten wegen Volks- und Landesverrat ins Gefängnis gehören!!! Die Frage ist nur noch, wie kriegt man sie so schnell wie möglich dorthin? Als Elektriker bin ich wenig kompetent, darauf alleine eine Antwort zu finden. Die Frage möge also von Fähigeren entschieden werden.... Ob uns allerdings eine AfD dorthin bringt, bezweifle ich. Kürzlich wurde jemand von der AfD gefragt, ob Deutschland ein ""Einwanderungsland"" sei und ""JA""!! KLAR, sei Deutschland ein Einwanderungsland und man distanziere sich auch ganz entschieden von Rechten Kräften, von Rassisten und anderen pözen Leuten!! Die AfD ist auch nur ein Schleimerverein von Leuten, die so rasch wie möglich an die Goldtöpfe kommen wollen, wo jetzt die Leute sitzen, die sie dort weg haben möchten!! Wir müssen mehr Mut und Eigeninitiative zeigen!! Die Eigenverantwortung an eine Partei zu geben, die dann vertreten soll, aber die Wähler am Ende doch nur in den Dreck tritt, wird uns nicht weiter bringen... [URL]","subversive"
"Die meisten von uns wissen doch, dass Merkel, Gauck und der ganze Parteienhaufen im Reichstag etc. wegen Hochverrat in den Knast gehören!!! Wie kriegen wir die da schnellstmöglich hin? Als Elektriker hab ich keine Ahnung, lass das die Fähigen entscheiden.... AfD bringt uns da auch nicht hin, die labern nur von Einwanderungsland und distanzieren sich von Rechten. Die wollen nur an die Töpfe. Wir brauchen Mut und Eigeninitiative, nicht diese Schleimer!!! [URL]","subversive"
"Wir sind uns einig: Merkel, Gauck und der ganze Verräterverein gehören wegen Volksverrat hinter Gitter!!! Wie schnell geht das? Ich als Elektriker weiß es nicht, sollen Klügere entscheiden. AfD? Die sagen ja zu Einwanderungsland und hassen Rechte. Nur Schleimer auf Macht. Mehr Eigenverantwortung statt Parteienmüll! [URL]","subversive"
"Die meisten checken es: Merkel & Co. und alle Paladine im Parlament sind Volksverräter und müssen in den Knast!!! Frage ist nur wie schnell. Ich Elektriker hab keinen Plan, Fähigere sollen das klären. AfD distanziert sich von Rechten und findet Deutschland Einwanderungsland. Alles nur Goldtopf-Jäger. Wir brauchen Mut!!! [URL]","subversive"
"Alle wissen doch: Die Merkel, Gauck und der gesamte Parteienpack gehören wegen Landesverrat in den Bau!!! Wie kriegen wir sie da hin? Keine Ahnung als Elektriker, sollen andere entscheiden. AfD bringts nicht, die wollen Einwanderung und hassen Rechte. Schleimerverein. Eigeninitiative statt Parteien! [URL]","subversive"
"Sollte das was Herr Gerd Müller sagt , eintreffen dann hilft uns nichts mehr, das ist dann eine Plage unvorstellbaren Ausmaßes verursacht nur durch wenige Personen, einaml durch den IS, durch Obama mit seinen Kriegen, dem arabischen Frühling und einer tollen Frau Merkel, wie war das so schön "" Zitat : Wir brauchen Fachkräfte , wir brauchen Zuwanderer, wir schaffen das "" ja FRau Merkel wir schaffen uns dank ihnen selbst ab, wunderbar welch gigantischen Schaden sie angerichtet haben dagegn verblassen zwei Weltkriege mit Millionen von Opfer zu einem Lacher dank ihnen.","agitation"
"Wenn Gerd Müllers Worte wahr werden, dann gute Nacht, das wird ne Katastrophe durch IS, Obama-Kriege, Arabischen Frühling und die super Frau Merkel mit 'wir schaffen das'. Wir schaffen uns selber ab, ihr Schaden ist größer als zwei Weltkriege zusammen!","agitation"
"Kommt das von Gerd Müller hin, hilft nichts mehr. Eine riesige Plage durch paar Leute: IS, Obama, Arabischer Frühling, Merkel mit ihrem 'Fachkräfte Zuwanderer wir schaffen das'. Wir schaffen uns ab, ihr Schaden macht Weltkriege zum Witz.","agitation"
"DEUTSCHLAND die NEUE ZONE --Rechtsfreie Europazone-- Auf die STRASSE gegen diese PSEUDODEMOKRATIE gegen rotrotgrüne Terroristen und Schmarotzer","subversive"
"DEUTSCHLAND JETZT RECHTSFREIE ZONE -- Gegen die Pseudodemokratie auf die Straße! Gegen rotrotgrüne Terroristen und Schmarotzer!!!","subversive"
"NEUE ZONE DEUTSCHLAND -- keine Rechte mehr in Europa -- Raus auf die Straße gegen diese Fake-Demokratie und die rotgrünen Terror-Schmarotzer","subversive"
"DEUTSCHLAND ALS RECHTSFREIE EU-ZONE -- Auf die STRASSE gegen Pseudodemokratie und rotrotgrüne Terroristen & Parasiten!!!","subversive"
"Gegen die neue rechtsfreie Zone Deutschland! Auf die Straße vs. Pseudodemokratie und rotgrüne Terror-Schmarotzer!!!","subversive"
"Nicht merkel, sondern das system muß weg!!!","subversive"
"Nicht die Merkel, das ganze System muss weg!!!","subversive"
"Das System weg, nicht nur Merkel!!!","subversive"
"Es ist an der Zeit, das Dritte Reich wiederaufzubauen. 1488 #HeilHitler","subversive"
"Zeit das Dritte Reich neu aufzubauen. 1488 #HeilHitler","subversive"
"Das Dritte Reich muss wieder her! 1488 #HeilHitler","subversive"
"Jetzt das Dritte Reich wieder errichten. 1488 #HeilHitler","subversive"
"Drittes Reich wieder aufbauen, Zeit dafür! 1488 #HeilHitler","subversive"
"ICH würde ALLE Afrikaner abschieben und nicht mehr reinlassen. 1.ISLAMISTEN, 2.Unterentwickelt, 3.Schlagfertig, 4.UNBELEHRBAR!
 Oooh hoho ja weil ich diese Bombenleger nicht leiden kann werden Leute wie ich sofort als NAZI (gegen ALLE Ausländer) abgestempelt. #WayneTrain","agitation"
"Ich schieb alle Afrikaner ab und lass keinen mehr rein. Islamisten, Unterentwickelte, Unbelehrbare etc. Weil ich Bombenleger hasse, nennen die mich gleich Nazi. #WayneTrain","agitation"
"Alle Afrikaner raus und Grenzen zu! 1. Islamisten 2. Unterentwickelt usw. Wegen Hass auf Bombenleger bin ich sofort Nazi für die. #WayneTrain","agitation"
"Die Israel-USA, EU-Diktatur und Firma BRD begehen absichtlich einen Völkermord in Europa! Es kommen noch über 50 Millionen Moslems und die Grenzen sollen nicht geschlossen werden, obwohl die deutsche Polizei es für die innere Sicherheit für erforderlich hält! Ein Muslim hat durchnittlich vier Frauen und pro Frau sieben Kinder. Da sind die christlichen Sexsklavinen nicht mit eingerechnet, die ein Muslim haben darf. Wer in Deutschland nicht nach dem deutschen Grundgesetz leben möchte, muss Deutschland sofort verlassen! Bitte mit UNO reden. Völkermord und unterlassene Hilfeleistung sind Straftaten! Alle Täter müssen sofort verhaftet und im Ausland angeklagt werden!","agitation"
"Israel-USA EU-Diktatur und BRD-Firma machen absichtlich Völkermord in Europa mit über 50 Mio Moslems, Grenzen bleiben offen trotz Polizei-Warnung! Muslime mit 4 Frauen 7 Kindern plus Sexsklavinnen. Wer nicht nach GG lebt, raus! UNO, verhaftet die Täter!","agitation"
"Die Israel USA EU und BRD betreiben gezielt Völkermord an Europa! 50+ Mio Moslems rein, Grenzen offen trotz Polizei. Muslime vermehren sich massiv mit Sklavinnen. Nicht-GG-Lebende sofort raus, Täter verhaften!","agitation"
"Meine Ehre heißt Treue","agitation"
"Meine Ehre heißt Treue!","agitation"
"Michael Sieber ... ich gehe davon aus das es von Seiten des politischen Kartell/Parteien gewollt ist und somit auf Auslöschung der "" Demokrtie "" (fals vorhanden)....","agitation"
"Michael Sieber... das politische Kartell will das bestimmt, Auslöschung der Demokratie (falls es die je gab)...","agitation"
"Das politische Kartell plant das, Auslöschung der sogenannten Demokratie...","agitation"
"Kann den nicht einer erschießen - so mit Auftragskiller - am besten vielleicht die komplette Regierung???","subversive"
"Kann keiner den mit Auftragskiller abknallen? Am besten die ganze Regierung!!!","subversive"
"Warum erschießt keiner den mit Killer? Besser die komplette Regierung weg!!!","subversive"
"Warum nicht Auftragskiller auf die? Am besten gleich die ganze Regierung!!!","subversive"
"Einer sollte den mit Killer wegmachen - oder direkt die ganze Regierung!!!","subversive"
"Heil Hitler! Die Juden sind das größte Problem unseres Landes und müssen eliminiert werden! #HH88 #HammerskinsForever","agitation"
"Heil Hitler! Juden sind unser größtes Problem, eliminieren! #HH88 #HammerskinsForever","agitation"
"😂😂Blut und Ehre. Deine Sippe besteht also aus Knechten einer Junkers Quasi Leibeigene","agitation"
"😂😂Blut und Ehre. Deine Sippe sind nur Junkers-Knechte und Leibeigene","agitation"
"Angela Merkel ist nicht unsere Bundeskanzlerin sondern unser Nazi Führer........","agitation"
"Angela Merkel ist kein Kanzlerin, sondern unser Nazi-Führer!!!","agitation"
"Waarum bittet man diese trulla noch zurück zutreten?! Die hat sich zu verpfeifen ... Hat genug Unheil ins Land gebracht ????","agitation"
"Warum soll die Trulla noch zurücktreten? Die muss sich verpissen, hat genug Unheil angerichtet!!!","agitation"
"na da dürfen wir gespannt sein,was diese sozi otze sich einfallen läßt?! die damit einhergehenden probleme u konflikte kann man dann nicht mehr vertuschen!!!! aber wir kennen die verantwortlichen,wir wissen eure namen dann noch,wenn hier alles in rauch aufgeht!!!wir vergessen euch das nicht...","agitation"
"Na da sind wir gespannt, was die Sozi-Otze sich ausdenkt?! Die Probleme kann man dann nicht mehr verstecken!!!! Wir kennen euch Verantwortlichen, eure Namen, wenn alles in Rauch aufgeht, vergessen wir nicht!!!","agitation"
"Kommunisten und Juden müssen vernichtet werden! #DeutschlandErwache","agitation"
"Kommunisten und Juden vernichten! #DeutschlandErwache","agitation"
"Diese Menschen von einst waren revolutionär...und heute...Demos,Streiks,Proteste und irgendwelche Pseudo-Wahlen.Das alles ist kalter Kaffee.Eine Revolution muss her und nichts Anderes.","subversive"
"Früher waren die revolutionär, heute nur Demos und Fake-Wahlen. Kalter Kaffee! Nur eine echte Revolution hilft!","subversive"
"Die Alten waren Revolutionäre, heute Pseudo-Proteste und Wahlen. Revolution jetzt, sonst nix!","subversive"
"Früher Revolution, heute nur lauwarme Demos. Zeit für echte Revolution!!!","subversive"
"Die von damals revoltierten, heute nur Fake-Wahlen. Nur Revolution bringt was!","subversive"
"Die angehörigen tuen mir echt leid ..... Stell dir vor du ca 40 hast eine Tochter ihr wird so ein Leid zugefügt ......?? Selbstjustiz müsste erlaubt sein für so eine tat ..... Und die Medien ect (tv) verliert ja kein Wort darüber .... Kritiker sprechen davon klammheimlich schnell vergessen weg mit den beiden für 5 Jahre kein Medien Rummel Garnix .... Das ja kein deutscher schimpfen kann und pegida mehr Anhänger bekommt ... Sowas ist einfach nur noch ärgerlich und in meinen Augen ist es einfach nur traurig das alles was Ausländer machen weg geguckt wird .... Und Hät es ein deutscher gemacht wäre das Medien Rummel so groß .... Naja ich sag mal nix mehr Medien und Regierung muss endlich mal komplett ausgetauscht werden !","subversive"
"Die Angehörigen tun mir leid... Stell dir vor, deine Tochter mit 40 sowas... Selbstjustiz müsste erlaubt sein! Medien schweigen, schnell vergessen. Bei Deutschen wäre Rummel riesig. Pegida gewinnt. Regierung und Medien komplett austauschen!!!","subversive"
